month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2025-04,Washington,11541,567,13478,6768,547,97,12,1,0,0,492,294,1,580,106,13,0,0,783,401,53,25,29,0,35788
2025-04,West Virginia,1854,65,4670,5072,221,408,0,1,1,0,538,452,2,27,4,2,0,0,6,4,0,0,0,0,13327
2025-04,Wisconsin,19642,889,15577,14308,854,58,0,0,1,4,177,224,16,152,45,9,0,0,0,0,0,0,0,0,51956
2025-04,Wyoming,499,5,2351,2061,158,158,22,1,3,0,140,116,4,36,5,0,0,0,8,8,0,1,0,0,5576
2025-03,Alabama,11743,282,20561,12522,1028,1110,1,5,7,0,2120,915,9,37,4,0,0,0,10,13,1,0,1,0,50369
2025-03,Alaska,63,166,3087,2432,264,213,0,0,0,0,136,65,2,30,12,0,0,0,0,0,0,0,0,1,6471
2025-03,Arizona,8875,69,19836,9062,1506,1123,0,2,3,0,1300,479,8,249,15,0,0,0,9,6,1,0,0,0,42543
2025-03,Arkansas,2108,216,7865,6062,484,498,9,6,1,0,1027,699,4,1,0,0,0,0,4,6,0,0,0,0,18990
2025-03,California,36138,11148,40824,20349,4182,0,0,0,0,0,616,414,40,1778,859,36,0,0,8635,3432,672,31,18,0,129172
2025-03,Colorado,8972,6,32378,19009,3987,3383,0,0,0,0,0,0,0,318,46,0,0,0,0,0,0,0,0,0,68099
2025-03,Connecticut,7793,759,6259,2176,292,0,4,0,0,0,110,27,2,70,1,1,0,0,2,0,0,0,0,0,17496
2025-03,Delaware,902,1,2238,1019,109,96,0,0,0,0,24,9,0,58,2,0,0,0,35,11,0,0,0,0,4504
2025-03,District of Columbia,1409,0,252,22,1,9,8,0,0,0,0,0,0,2,0,70,0,0,0,0,0,0,0,0,1773
2025-03,Florida,10232,0,59662,21969,4405,3139,0,61,26,0,3687,868,9,1907,121,4,0,0,264,145,38,63,33,2,106635
2025-03,Georgia,12079,0,22777,10583,980,991,1,3,6,1,2283,814,12,49,1,0,0,0,17,8,2,1,0,0,50608
2025-03,Guam,0,0,185,80,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288
